Subject, Start Date, Start Time, End Date, End Time, All Day, Description, Location, UID
2020년 1학기 전공개방모집 희망전공정정,01/03/2020,,01/03/2020,,true,,,
2020년 1학기 재입학 원서접수,01/06/2020,,01/11/2020,,true,,,
2020년 전과(부) 원서접수,01/08/2020,,01/11/2020,,true,,,
2020년 1학기 복학신청,01/20/2020,,01/29/2020,,true,,,
2020년 1학기 휴학신청,01/20/2020,,03/28/2020,,true,,,
2020년 1학기 수강신청 장바구니 담기,01/29/2020,,01/31/2020,,true,,,
2020년 1학기 수강신청 장바구니 수정,02/04/2020,,02/04/2020,,true,,,
2020년 1학기 수강신청,02/12/2020,,02/15/2020,,true,,,
2020년 2월 학위수여식,02/17/2020,,02/22/2020,,true,,,
2020년 1학기 재학생 등록,02/24/2020,,02/28/2020,,true,,,
2020년 1학기 개강,03/02/2020,,03/02/2020,,true,,,
2020년 1학기 수강신청 정정,03/02/2020,,03/08/2020,,true,,,
유연학기 Term1(8주),03/02/2020,,04/26/2020,,true,,,
2020년 1학기 수강과목 취소(4주차),03/23/2020,,03/29/2020,,true,,,
2020년 1학기 강의 Feedback 실시,03/23/2020,,04/04/2020,,true,,,
2020년 1학기 중간시험(8주차),04/20/2020,,04/26/2020,,true,,,
유연학기 Term2(8주),04/27/2020,,06/21/2020,,true,,,
2020년 하계 계절학기 시행 공지,05/04/2020,,05/04/2020,,true,,,
졸업논문 제출,05/04/2020,,05/09/2020,,true,,,
2020년 2학기 다전공 신청(복수/융합/연계/자기설계/부전공),05/18/2020,,05/30/2020,,true,,,
2020년 1학기 강의평가 실시,06/01/2020,,06/27/2020,,true,,,
2020년 2학기 전공개방모집 희망전공 신청,06/02/2020,,06/09/2020,,true,,,
2020년 1학기 기말시험(16주차),06/15/2020,,06/21/2020,,true,,,
2020년 1학기 성적입력,06/18/2020,,06/27/2020,,true,,,
2020년 여름방학,06/22/2020,,09/01/2020,,true,,,
2020년 하계 계절학기,06/23/2020,,07/15/2020,,true,,,
2020년 1학기 성적조회,06/29/2020,,07/03/2020,,true,,,
2020년 1학기 성적정정,07/01/2020,,07/03/2020,,true,,,
2020년 2학기 전공개방모집 희망전공 정정,07/03/2020,,07/03/2020,,true,,,
2020년 2학기 재입학 원서 접수,07/06/2020,,07/11/2020,,true,,,
2020년 2학기 복학신청,07/27/2020,,08/04/2020,,true,,,
2020년 2학기 휴학신청,07/27/2020,,09/29/2020,,true,,,
2020년 2학기 수강신청 장바구니 담기,08/04/2020,,08/06/2020,,true,,,
2020년 2학기 수강신청 장바구니 수정,08/11/2020,,08/11/2020,,true,,,
2020년 2학기 수강신청,08/18/2020,,08/21/2020,,true,,,
2020년 8월 학위수여자 졸업기준일,08/21/2020,,08/21/2020,,true,,,
2020년 2학기 재학생 등록,08/24/2020,,08/29/2020,,true,,,
2020년 2학기 개강일,09/01/2020,,09/01/2020,,true,,,
2020년 2학기 수강신청 정정,09/01/2020,,09/08/2020,,true,,,
유연학기 Term3(8주),09/01/2020,,10/27/2020,,true,,,
2020년 2학기 수강과목 취소(4주차),09/22/2020,,09/29/2020,,true,,,
2020년 2학기 강의 Feedback 실시,09/22/2020,,10/06/2020,,true,,,
개교102주년기념일,10/11/2020,,10/11/2020,,true,,,
2020년 2학기 중간시험(8주차),10/20/2020,,10/27/2020,,true,,,
유연학기 Term4(8주),10/27/2020,,12/22/2020,,true,,,
2020년 동계 계절학기 시행 공지,11/02/2020,,11/02/2020,,true,,,
졸업논문 제출,11/09/2020,,11/14/2020,,true,,,
2021년 1학기 다전공 신청(복수/융합/연계/자기설계/부전공),11/16/2020,,11/28/2020,,true,,,
2021년 1학기 전공개방모집 희망전공 신청,12/01/2020,,12/08/2020,,true,,,
2020년 2학기 강의평가 실시,12/01/2020,,12/26/2020,,true,,,
2020년 2학기 기말시험(16주차),12/15/2020,,12/22/2020,,true,,,
2020년 2학기 성적입력,12/18/2020,,12/27/2020,,true,,,
겨울방학,12/22/2020,,02/29/2021,,true,,,
동계 계절학기,12/23/2020,,01/16/2021,,true,,,
2020년 2학기 성적조회,12/28/2020,,01/01/2021,,true,,,
2020년 2학기 성적정정,12/30/2020,,01/01/2021,,true,,,
